,title,company_name,link,exp,years_extracted,desc,sourceDomain,formattedIndustries,applicantTrackingSystem,years_nums
329,"Software Engineering, Senior (CorePHP)",medallia,https://www.linkedin.com/jobs/view/3630993493,,['Qualifications 4+ years of experience in fu'],"Overview

Medallia is the pioneer and market leader in Experience Management. Our award-winning SaaS platform, Medallia Experience Cloud, leads the market in the understanding and management of experience for candidates, customers, employees, patients, citizens and residents.

We are more than a software company. We want to be known as a company that does the right thing, no matter the challenge or controversy. We are committed to creating a culture that values every person and every experience. Individual life experiences shape the way we interact with the world, which is why we encourage people to bring their whole selves to work each day. The strength of our global workforce is the most significant contributor to our success.

We believe: Every Experience Matters. Talent is Everywhere. All Belong Here

At Medallia, we hire the whole person.

As a Senior Software Engineer at Medallia, you will be joining our Medallia Ideas team, whose responsibility is to develop and maintain Medallia’s acquisition -- a platform for gathering ideas for our customer’s challenges and turning them into actionable items. You’ll help modernize this robust application and lead the charge on integrating Medallia Idea into the Medallia core system. You’ll work with product to discover new business opportunities in the employee experience space. Be a part of the team that builds the next generation of Medallia Employee Experience 360!

Responsibilities

Work closely with Product and Design teams to design and implement complex user interfaces and user-facing features for the next generation Medallia Idea product.Develop new user-facing features and customer-driven enhancements to Medallia Ideas.Create fast, easy to use solutions that can be implemented quickly and seamlessly to support diverse clients.Participate in a thriving Engineering community, helping shape mid/long-term technical roadmap and architecture patterns for the global Engineering organization.Support a team of junior to mid-level engineers through mentorship and technical leadership.

Our Engineering Culture

We don’t expect to be perfect, but we are always proactively seeking out ways to help ourselves and our teams to minimize pain points within our infrastructure and code base. We love technology -- and follow the latest technologies, sharing what we learn.We are not afraid of failing when we are experimenting with different technologies, development methodologies, and toolings.

Qualifications

Minimum Qualifications

4+ years of experience in full stack software development using Node.js,Javascript, React, Git.CorePHP experienceProven proficiency in Javascript - functional programming, promises, closure.Experience with unit testing/integration testing.Experience with SQL databases.Previous experience with agile process, inclusive of ability to work in fast-paced and distributed teams.Experience mentoring and leading other engineers (and enjoys it).Must have excellent communication in English - both verbal and written.

Preferred Qualifications

Bachelors in CS, Engineering, or other advanced degree.Experience with: ES6/7, NodeJS, GraphQL, Docker, PHP, CSS-in-JS techniques.Bring an ownership mindset with quality orientation and DevOps experience.Demonstrate strong software engineering fundamentals.

At Medallia, we celebrate diversity and recognize the value it brings to our customers and employees. Medallia is proud to be an equal opportunity workplace and is an affirmative action employer. All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, genetic information, disability, veteran status, or any other applicable status protected by state or local law. Individuals with a disability who need an accommodation to apply please contact us at ApplicantAccessibility@medallia.com. For information regarding how Medallia collects and uses personal information, please review our Privacy Policies.",jobs.medallia.com,['Computer Software'],,[[4]]
330,"Lead Software Engineer, AI Platform",thomson-reuters,https://www.linkedin.com/jobs/view/3607774950,Mid-Senior level,"['f these criteria: 7 years in Software Enginee', 'that for almost 160 years . Our industry-leadi']","About The Role
In this opportunity you will: 
Build and evolve the AI Platform which includes being able to assess the current architecture and map to the “to-be” state. Participate in all aspects of the development lifecycle: Ideation, Design, Build, Test and Operate Utilize a variety of software and tools both commercial and open source Enable self-service tooling for data science teams to create and maintain models Design, develop, integrate, and deploy tools for Data Science and ML Research, such as, Model Monitoring, Model Governance, Model Deployment, Data Management, Feature Engineering, among others. Be able to design, implement, and operate a framework for Machine Learning Operations (MLOps). Design, evaluate, and advise on the day-to-day work of Software Engineering for Machine Learning Ensure consistency with cloud architectural guiding principles Continuously challenge and evolve the existing platform capabilities and keep up to date with new offerings 
About You
You’re a fit for the role of Lead Software Engineer, AI Platform if you meet all or most of these criteria:
7 years in Software Engineering Hands-on experience working with at least one public cloud technology (AWS, Azure) Experience with service-oriented and/or microservices architecture Experience with AWS SageMaker, Azure ML, or similar Cloud AI capabilities Proficiency in modern programming languages such as Python, JavaScript, TypeScript, C/C++, Java. Experience with relational and non-relational databases Experience with Agile development and delivery – Scrum, Lean, XP, Kanban methodologies. Hands on DevOps experience – CI/CD in AWS, Git, Monitoring, Log Analytics A good understanding of frontend development (UI/UX concepts and frameworks, HTML, CSS, and Javascript) is an asset and a strong differential for this role. Technical leadership including being able to break down high level requirements to features and stories A can do attitude 
Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we’ve been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world’s most global news services – Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.
We are powered by the talents of 25,000 employees across more than 75 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.
Accessibility 
As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.
We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.
Protect yourself from fraudulent job postings click here to know more.
More information about Thomson Reuters can be found on https://thomsonreuters.com.",careers.thomsonreuters.com,"['Financial Services', 'Legal Services', 'Information Technology & Services']",,"[[7], [160]]"
331,Senior .Net Software Engineer,ubs,https://www.linkedin.com/jobs/view/3635972995,,['Your expertise 14+ years of total experience'],"Job Reference #
275941BR
Job Type
Full Time
Your role
Do you want to build next generation business applications using the latest technologies? Are you a talented .Net Software Engineer who wants to work on interesting business challenges and do you like to be challenged and encouraged to learn and grow professionally?
This position will engage, collaborate and partner with Product Management, Software Development, DevOps, and Technology Partners to drive strategy and approach for Intelligent Document Capturing & Processing. You will be responsible for Design, develop, implement and coordinate systems, policies and procedures and providing Production Support for this key area for the Information Capturing & Processing Crew which is part of Client Documents and Records Management.
At UBS, we re-imagine the way we work, the way we connect with each other – our colleagues, clients and partners – and the way we deliver value. Being agile will make us more responsive, more adaptable, and ultimately more innovative.
We are looking for a Senior .Net Software Engineer Local Manager to:

 excellent knowledge in programming and analytical skills proposing Solution Design leading and delivering projects in Dotnet technologies. proven working experience as an IT Manager or relevant experience manage IT staff by recruiting, training and coaching employees, communicating job expectations and appraising their performance comply with all applicable UBS standards, principles and policies for S/W development and rollouts

Your team
you will be working in the Information Capturing & Processing Crew, which is part of the foundation stream of Client Document and Records Management. You will work within a team software engineers who work across various PODs of Information Capturing & Processing to support the delivery and improvement of the Digital Mailroom Capturing and PDF/A converter service, Kofax Express and the Transformation API service.
Along with your team members, you will enable the transition from our classic products to the new strategic and integrated suite of products.
The crew mission is to become the global differentiator for capturing and processing of (client) information by offering innovative information services for integration & automation.
The members of this chapter are working out of Switzerland, Poland, India, Qatar, Philippines and Singapore.
Diversity helps us grow, together. That’s why we are committed to fostering and advancing diversity, equity, and inclusion. It strengthens our business and brings value to our clients.
Your expertise

 14+years of total experience and experience in developing C#.NET, ASP.NET, MVC, WEB API, Web services, SQL Server 2019, Entity framework, Unit tests work closely with the QA, DEVOPS teams to ensure release of defect free and high quality code into production advanced experience and knowledge in information system architecture, system design patterns, and integration experienced and skilled software developer in Microsoft, Azure and RPA technologie, familiar with Agile methodologies strong communication skills, both written and verbal; experience working directly with clients; proven background of working in a local manager role provide technical expertise and recommendations in assessing new software projects and initiatives to support and enhance our existing applications

About Us
UBS is the world’s largest and only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors.
With more than 70,000 employees, we have a presence in all major financial centers in more than 50 countries. Do you want to be one of us?
How We Hire
This role requires an assessment on application. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html
Join us
At UBS, we embrace flexible ways of working when the role permits. We offer different working arrangements like part-time, job-sharing and hybrid (office and home) working. Our purpose-led culture and global infrastructure help us connect, collaborate, and work together in agile ways to meet all our business needs.
From gaining new experiences in different roles to acquiring fresh knowledge and skills, we know that great work is never done alone. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we’re more than ourselves. Ready to be part of #teamUBS and make an impact?
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",jobs.ubs.com,"['Banking', 'Financial Services', 'Investment Banking']",,[[14]]
332,Software Development Engineer - II/III,optimhire,https://www.linkedin.com/jobs/view/3630965068,,"['nt experience.● 1-2 years experience in build', 'looking for● 3-5 + years of software develop']","Job DescriptionSoftware Development Engineer - II/III (Backend)
Responsibilities● Lead the development of the backend systems.● Build distributed, secure and performant backend systems.● Mentor and provide feedback to teammates.● Design (LLD & HLD) and architect technical solutions to complex problems.
What we’re looking for● 3-5 + years of software development experience.● 1-2 years experience in building scalable, high-performance backend systems.● Experience in system design, distributed systems, relational and No-SQL databases.● Strong understanding of programming paradigms and test-driven development.● Experience in implementing Event-Driven Architecture and microservices architecture atscale
Skills we’re looking for● Proficiency in Golang (preferred) and/or Python● Solid understanding of NoSQL databases like MongoDB ( MySQL is a plus)● Solid understanding of Apache Kafka and Docker● Familiarity with AWS and commonly used services
Good to have● Knowledge of Elasticsearch/Solr● Experience in building live streaming applications",,[],LinkedIn,"[[1, 2], [3, 5]]"
333,Data Analyst,digital-roi,https://www.linkedin.com/jobs/view/3634710380,,['alystExperience : 1 year + Responsibilities:'],"Job Opening Post: Data AnalystExperience : 1 year + Responsibilities:
End-to-end Team coordination for data on various platforms like Google analytics, Moengage , webengage etcMaintain and operate existing data blending, transformation, and visualizing daily processes.Making automated reports and trackers and maintaining the same using Looker studio , MS excel or other toolsWillingness to support several projects at one time, and to accept reprioritization as necessary.Imparting Training on Tableau, Excel,SQL, Python or R Programming, Statistics.
Qualifications:
Completed Graduation70%+ marks in Mathematics in 10th standardProficiency in spoken and written EnglishGood Communication SkillsOwn laptop Good in MS Excel and MS-WordShould have an advanced understanding of Excel for working on large product datasheets.Should have the ability to manipulate and apply complex Excel formulas such as VLOOKUP.Should have the ability to read and understand instructions in English from our overseas clients.Should have the ability to learn new software related to E-commerce.Good understanding of Data Analysis concepts and understanding of Machine Learning, Big Data, Business Intelligence Tools.
Behavioral Skills:Positive attitude towards work.Ability to Meet Deadlines.Should be punctual at work.Should have a positive attitude towards the team, confident & hardworking.Self-starter, good team player, quick learner, and self-motivated.Ability to work with minimal supervision.
Other details:
CTC : 4.25 LakhProbation period - 4 MonthsLocation: Pune (WFO)Working hours: 10:00 AM to 7:00 PMWorking Days: 5 days a week (Saturday & Sunday are off)
Please Note: Part time is not allowed.
Hiring Process:
It usually takes 1-2 weeks for the entire selection process.
Round 1 - Assignment Round 2 - HR and Analytical Round of InterviewRound 3 - Technical Round
Please note: Interview will be conducted through video call.",,[],LinkedIn,[[1]]
334,Perl Developer,tech-mahindra,https://www.linkedin.com/jobs/view/3630344358,Mid-Senior level,"['s/Experience): (5-8 years ) Demonstrated abil', ""helor's with 5 to 8 years ' experience, Master"", ""er's degree with 4+ years ' experience. Bachel""]","We have an urgent opening for Perl Developer for Bangalore Location
Location: Only BangaloreYears of Experience: 5 + Job Description:Object oriented Perl, Rest API, Oracle DB, knowledge in Code repository like GIT, strong in Linux environment, exp in Azure cloud environmentPosition Responsibilities: Will be responsible for enhancing, migrating, consulting applications for writing code using Perl CGI programming language Involved in migrating the applications into cloud environment Participating, analyzing, supporting the applications for its end to end solutions from development to deployment through automation using CI/CD pipeline concepts. Estimate user stories/features (story point estimation) and tasks in hours with the required level of accuracy and commit them as part of Sprint Planning Contributes to the Backlog refinement meetings by promptly asking relevant questions to ensure requirements achieve the right level of DOR Works with the Product Owner to confirm that the code and acceptance tests reflect the desired functionality Raise any impediments/risks (technical/operational/personal) they come across and approaches Scrum Master/Technical Architect/PO accordingly to arrive at a solution Update the status and the remaining efforts for their tasks on a daily basis Ensures change requests are treated correctly and tracked in the system, impact analysis done and risks/timelines are appropriately communicated Develops working software towards committed Team PI Objectives and Iteration plans Delivers working software in accordance with expected quality standards Designs for testability: Design and evolve the system to support testability and test automation Works on prototyping and evaluates technical feasibility Basic Qualifications (Required Skills/Experience): (5-8 years)  Demonstrated ability to create positive impact on customer by developing polished, cohesive, effective, anduser friendly applications for large and complex aviation related systems Strong analytical and development skills in Perl CGI Hands on experience in UNIX development environments and scripting knowledge Good knowledge of database concepts with knowledge on writing SQL Queries and Stored Procedures Experience in understanding and interacting with multiple data formats Ability to rapidly learn and understand software from source code Must have experience working with cross-functional teams spread across multiple products and locations Must be flexible, with a high tolerance for organizational complexity and ability to work with partners from within Boeing and outside, across different cultures and time-zones Extensive experience in collaborating within an Agile team setting, working as a group to drive Epic/Feature/Story creation as well as solution design and architecture Should have excellent interpersonal and communication skills to earn trust, persuade, motivate and mentor other team members. To be effective, this person must earn the respect of the Scrum teams, ScrumMasters, Technical Architect, and Release Train Manager, Business teams, customers and all other different stakeholders Candidate must be a self-starter with a positive attitude, high ethics, and strong analytical and creative problem Solving skills and a track record of working successfully under pressure in a time-constrained environment Ability to independently execute & deliver on the backlog without dependency or hand-holding Should be an excellent team player Preferred Qualifications (Desired Skills/Experience):  Knowledge of integrating with Maven, GIT and Shell scripting Experience with Azure Cloud is a good to have Experience in working with Azure Data factory is a good to have Experience with Azure Cloud Typical Education & Experience:  - Degree and typical experience in engineering classification: Bachelor's with 5 to 8 years' experience, Master's degree with 4+ years' experience. Bachelor, master or doctorate of science degree from an accredited course of study, in engineering, computer science, mathematics, physics or chemistry  - Excellent working knowledge of the entire software development life-cycle.",,['Information Technology & Services'],LinkedIn,"[[5, 8], [5, 8], [4]]"
335,Sr Software Engineer,qualys,https://www.linkedin.com/jobs/view/3563904733,Mid-Senior level,['Skill Required 5+ years of experience as a'],"Come work at a place where innovation and teamwork come together to support the most exciting missions in the world!

Brief Description:

This position is for Senior Software Engineer for working on an exciting project developing security solutions for the Docker platform. This opening provides you a chance to create a significant impact on a new product offering from Qualys.

Full Description:

We are seeking a talented C/C++ Sr developer to work on exciting project enabling Qualys' security solutions.

Working with a team of engineers and architects, you will be responsible for prototyping, designing, developing and supporting a highly scalable SaaS based security offerings.

Skill Required
5+ years of experience as a software engineer, developing complex systems in modern C++ and GoLang programming languages.Familiarity with Linux OS architecture, internals and security.Hands-on experience with Linux low-level development and debugging.Familiarity with Containers, Kubernetes and different container runtimes.Previous experience with eBPF - advantageHands-on with development tools like GIT, JIRA, Jenkins, etc.

Responsibilities
Takes ownership for successful delivery of the products, components, modules and features assignedDemonstrated high quality focus, and demonstrable scenarios of Test Driven Development.Must have experience developing complex software projects with multiple features and short release cycles.Excellent verbal and written communications skills.Self-driven; requires minimal supervision to work.Team player with a “can do” attitude yet modest and humble attitude when it comes to collaborating within team and across other teamsUncompromising attitude when it comes to quality and help raise bar of product, team members and hence overall engineering organization.Having knowledge of Puppet, CoreOS, Kubernetes and distributed systems would be added advantage.",qualys.wd5.myworkdayjobs.com,['Computer & Network Security'],Workday,[[5]]
336,"Principal Software Engineer, gt.school (Remote) - $200,000/year USD",crossover,https://www.linkedin.com/jobs/view/3634181399,Director,"['tware development3+ years of experience in so', 'ware architecture3+ years of experience devel', 'roach leverages 50+ years of learning science', 'ek and 50 weeks per year . The payment period', 'sic Requirements 5+ years of experience in so', 'tes to $200,000 USD/ year assuming 40 hours p']","Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, gt.school. Have you got what it takes?
Are you a Software Architect with an unwavering commitment to well-engineered code who thrives in the fast-paced world of AWS cloud computing? Do you relish the challenge of leading product development, crafting, and executing complex architectural decisions? If you're driven by a passion for pushing the boundaries of what's possible in tech, then GT School is looking for you!
At GT School, we're not just developing software; we're revolutionizing education. Our groundbreaking data platform, CoachBot, empowers students to learn independently, with no teacher or tutor required. Through tight integration with numerous learning apps, CoachBot harnesses the power of analytics to assess student performance, delivering targeted real-time feedback and encouraging progress with innovative motivational techniques - including cash rewards!
What sets us apart? Our platform is 100% cloud-native, utilizing cutting-edge AWS technologies like Lambda, Step Functions, Glue, AppSync, and QuickSight. This means you'll spend less time maintaining old code and more time pioneering new solutions in a dynamic, ever-evolving tech landscape.
We believe that technical leadership shouldn't mean ""graduating"" to administration and management - here, you'll always be at the cutting edge, driving the design and development of new features. As our Principal Software Architect, you'll lead by example, delivering the most complex features and making the most challenging architectural decisions. You'll have the opportunity to inspire and shape a team of talented engineers, all while remaining hands-on and engaged with the technology you love.
If you're a strategic thinker with a proven track record in software architecture and cloud technologies, and you're ready to redefine the future of education, we'd love to hear from you!
What You Will Be Doing
Making the most complex architectural decisions in the productReviewing feature design proposals from other team members and simplifying themReviewing the code of other team members for simplicity and correctnessStandardizing best practices into playbooks to improve the quality of the whole team
Principal Software Engineer Key Responsibilities
Own the architecture and quality of the whole product
Basic Requirements
5+ years of experience in software development3+ years of experience in software architecture3+ years of experience developing using AWS cloud patterns
About Gt.school
gt.school is a stealth EdTech startup in Austin, Texas, the center of educational innovation in the US. Our unique approach leverages 50+ years of learning science, cutting-edge data analytics and high-performance life skills coaching. In doing so, we can help students learn 5x faster and unlock their full potential in both academics and in life. We are a remote-first company that hires globally via Crossover.
There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!
Working with Crossover
This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $100 USD/hour, which equates to $200,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.
What to expect next:
You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4642-IN-Mumbai-PrincipalSoftw1.006
",www.crossover.com,"['Computer Software', 'Information Technology & Services', 'Internet']",,"[[], [], [50], [50], [5], [200, 0, 40]]"
337,Senior Java Developer,citi,https://www.linkedin.com/jobs/view/3633745769,,"['relevant experience years of relevant experie', 'ualifications: 8-10 years of relevant experie']","Job Id: 23658630
The Applications Development Senior Programmer Analyst is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to contribute to applications systems analysis and programming activities.
Responsibilities:
Conduct tasks related to feasibility studies, time and cost estimates, IT planning, risk technology, applications development, model development, and establish and implement new or revised applications systems and programs to meet specific business needs or user areasMonitor and control all phases of development process and analysis, design, construction, testing, and implementation as well as provide user and operational support on applications to business usersUtilize in-depth specialty knowledge of applications development to analyze complex problems/issues, provide evaluation of business process, system process, and industry standards, and make evaluative judgementRecommend and develop security measures in post implementation analysis of business usage to ensure successful system design and functionalityConsult with users/clients and other technology groups on issues, recommend advanced programming solutions, and install and assist customer exposure systemsEnsure essential procedures are followed and help define operating standards and processesServe as advisor or coach to new or lower level analystsAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
8-10 years of relevant experience years of relevant experienceExperience in systems analysis and programming of software applicationsExperience in managing and implementing successful projectsWorking knowledge of consulting/project management techniques/methodsAbility to work under pressure and manage deadlines or unexpected changes in expectations or requirements
Education:
Bachelor’s degree/University degree or equivalent experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
Skills:
Strong interpersonal and articulation skills (spoken and written)Excellent persuasive, influencing and negotiation skills Outstanding analytic and problem solving skills; innovative and solutions oriented
Technical
Essential:
Excellent knowledge in Java Java performance tuning, Threads, CollectionsKnowledge of MicroservicesKnowledge of Kafka and messagingKnowledge of OpenShift, ECS, Docker, Kubernetes
-------------------------------------------------
Job Family Group: 
Technology
-------------------------------------------------
Job Family:
Applications Development
------------------------------------------------------
Time Type:
Full time
------------------------------------------------------
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",jobs.citi.com,"['Banking', 'Financial Services', 'Investment Banking']",,"[[], [8, 10]]"
338,Engineer Automation,sartorius,https://www.linkedin.com/jobs/view/3635798156,Entry level,"['ximately every five years and expects to grow', 'ongly over the past years . Do you also want t', 'tronics preferred5+ years relevant experience']","For Sartorius Stedim India Pvt. Ltd, we are currently seeking an Engineer Automation - Software Development to join our team in Bangalore. In this position, you will act as a critical partner to our CIT team and will be responsible for developing the Automation software for Biopharma equipment’s. These software’s will be developed in according to Software Functional specification.
Main Responsibilities & Tasks
Software’s are developed in Siemens platform like S7 300, S7 1500, WinCC.PLC software will be developed mainly in STL, SCL & S7 Graph languages.WinCC software involves the C, VB scripting.Developing the quality software which will be used for Biopharma equipment’sIntegrating the developed software into the equipment.Supporting for qualification equipment.
Qualifications & Skills
Bachelor's degree in Engineering in Electronics preferred5+ years relevant experience in Software development.Able to identify problems and troubleshooting the software error.Strong aptitude for hands-on engineering testing and experimentation in a lab/shop environmentDisciplined and well-organized in documentation and software developmentExperience 21 CFR Part 11 complianceTeam player with good communication skills
What we offer
Our ambition is to simplify progress in life science research and the biopharmaceutical industry to help translate scientific findings into new therapeutics faster and more efficiently. So that more people can obtain access to better medicine. Nearly 11,000 employees at more than 60 production and sales locations worldwide are committed to this vision. And together, we have grown strongly over the past years. Do you also want to contribute to our vision? Grow with us and benefit from working with a Global Player that has kept its familiar atmosphere:
Opportunity for international career development: a global network offering seminars and training sessions, expert, and manager career paths
Open and highly collaborative culture: mutual support within teams and working as equals, team spirit and international collaboration
Work-life balance: Working from home at many sites
Intelligent working environment: working in smart buildings with the latest technology and equipment
Ambitious goals: Sartorius plans to double its sales revenue approximately every five years and expects to grow its global team to approximately 15,000 people in 2025.
We look forward to receiving your application.
www.sartorius.com/career
We look for employees who would like to grow with us and move the innovative life sciences sector forward. In the process, we focus on agile project work, mutual support within teams and working as equals. Sartorius thrives as a company with people who give their very best every day and who are eager to develop personally and professionally.
Further insights into our world of work can be found on www.sartorius.com/careers",sartorius.wd3.myworkdayjobs.com,['Biotechnology'],Workday,"[[], [], []]"
339,Java Microservices IRC180166,globallogic,https://www.linkedin.com/jobs/view/3594128298,Mid-Senior level,['s: Experience: 4-6 years Education: BE/BTec'],"Description:

Join GlobalLogic, to be a valid part of the team working on a huge software project for the world-class company providing M2M / IoT 4G/5G modules e.g. to the automotive, healthcare and logistics industries. Through our engagement, we contribute to our customer in developing the end-user modules’ firmware, implementing new features, maintaining compatibility with the newest telecommunication and industry standards, as well as performing analysis and estimations of the customer requirements.

Requirements:

Experience: 4-6 years

Education: BE/BTech/MCA from Tier 1, 2, or good colleges in India

Job Location: Pune

Must-Have Skills

Hands-on Experience working with J2EE Frameworks Spring, Spring MVC, Spring Boot

Microservices architecture (Web Services, API, REST)

Relational Database, PostgreSQL

AWS cloud

Code reviews and implement coding best practices

Cucumber, JUnit

Hands-on experience in maintaining CI/CD Pipelines

Agile experience

Must have experience in crafting, analyzing, and operating large-scale distributed systems.

Must have experience in troubleshooting issues in a multi-system, microservices, cloud-based environment

Must have top-notch analytical skills and are a great problem solver

Good to Have Skills

Experience in React JS

Docker/Kubernetes

Preferences:

java , Microservices, spring, data structure

Job Responsibilities:

What we’re Looking For: As a hands-on Lead/Senior Java backend developer, master the entire life cycle including research, design, application and deployment architecture, development, testing (dev owns code quality, automated unit testing, unit test coverage), continuous deployment, and continuous delivery.

What We Offer

Exciting Projects: We focus on industries like High-Tech, communication, media, healthcare, retail and telecom. Our customer list is full of fantastic global brands and leaders who love what we build for them.

Collaborative Environment: You Can expand your skills by collaborating with a diverse team of highly talented people in an open, laidback environment — or even abroad in one of our global centers or client facilities!

Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer flexible work schedules, opportunities to work from home, and paid time off and holidays.

Professional Development: Our dedicated Learning & Development team regularly organizes Communication skills training(GL Vantage, Toast Master),Stress Management program, professional certifications, and technical and soft skill trainings.

Excellent Benefits: We provide our employees with competitive salaries, family medical insurance, Group Term Life Insurance, Group Personal Accident Insurance , NPS(National Pension Scheme ), Periodic health awareness program, extended maternity leave, annual performance bonuses, and referral bonuses.

Fun Perks: We want you to love where you work, which is why we host sports events, cultural activities, offer food on subsidies rates, Corporate parties. Our vibrant offices also include dedicated GL Zones, rooftop decks and GL Club where you can drink coffee or tea with your colleagues over a game of table and offer discounts for popular stores and restaurants!

About GlobalLogic GlobalLogic is a leader in digital engineering. We help brands across the globe design and build innovative products, platforms, and digital experiences for the modern world. By integrating experience design, complex engineering, and data expertise—we help our clients imagine what’s possible, and accelerate their transition into tomorrow’s digital businesses. Headquartered in Silicon Valley, GlobalLogic operates design studios and engineering centers around the world, extending our deep expertise to customers in the automotive, communications, financial services, healthcare and life sciences, manufacturing, media and entertainment, semiconductor, and technology industries. GlobalLogic is a Hitachi Group Company operating under Hitachi, Ltd. (TSE: 6501) which contributes to a sustainable society with a higher quality of life by driving innovation through data and technology as the Social Innovation Business.",www.globallogic.com,['Computer Software'],,"[[4, 6]]"
